pedido_id,data,categoria,produto,quantidade,preco_unitario,receita
1118,2025-01-01,Alimentos,Café Especial,4,58.11,232.44
1139,2025-01-01,Alimentos,Café Especial,5,20.36,101.8
1365,2025-01-01,Eletrônicos,Mouse Sem Fio,4,201.39,805.56
1666,2025-01-01,Esporte e Lazer,Tênis de Corrida,5,292.13,1460.65
2186,2025-01-01,Casa e Decoração,Almofada,5,163.52,817.6
1957,2025-01-02,Vestuário,Jaqueta,1,187.86,187.86
1037,2025-01-02,Vestuário,Tênis,5,112.46,562.3
2030,2025-01-03,Eletrônicos,Mouse Sem Fio,4,291.04,1164.16
1505,2025-01-03,Esporte e Lazer,Garrafa Térmica,2,207.48,414.96
1494,2025-01-03,Eletrônicos,Mouse Sem Fio,3,208.48,625.44
2194,2025-01-04,Eletrônicos,Fone Bluetooth,1,173.93,173.93
2122,2025-01-04,Eletrônicos,Mouse Sem Fio,3,303.42,910.26
1090,2025-01-04,Vestuário,Camiseta,4,163.01,652.04
1651,2025-01-05,Eletrônicos,Mouse Sem Fio,4,229.37,917.48
1993,2025-01-05,Vestuário,Camiseta,5,137.44,687.2
2055,2025-01-05,Casa e Decoração,Jogo de Panelas,3,127.33,381.99
2160,2025-01-06,Esporte e Lazer,Tênis de Corrida,5,56.51,282.55
2148,2025-01-06,Casa e Decoração,Jogo de Panelas,5,287.15,1435.75
1061,2025-01-06,Alimentos,Chocolate,1,57.65,57.65
1971,2025-01-06,Alimentos,Chocolate,4,52.41,209.64
1313,2025-01-07,Esporte e Lazer,Kit Yoga,1,130.17,130.17
1710,2025-01-07,Casa e Decoração,Almofada,4,30.37,121.48
1302,2025-01-07,Esporte e Lazer,Kit Yoga,5,308.35,1541.75
1553,2025-01-08,Esporte e Lazer,Garrafa Térmica,4,291.62,1166.48
2096,2025-01-08,Esporte e Lazer,Garrafa Térmica,3,143.52,430.56
1736,2025-01-08,Esporte e Lazer,Bola de Futebol,4,105.39,421.56
1648,2025-01-08,Casa e Decoração,Almofada,1,221.94,221.94
1049,2025-01-09,Eletrônicos,Carregador Portátil,3,312.31,936.93
1406,2025-01-09,Vestuário,Tênis,2,115.76,231.52
1327,2025-01-09,Eletrônicos,Mouse Sem Fio,5,166.08,830.4
1088,2025-01-10,Esporte e Lazer,Garrafa Térmica,2,109.79,219.58
2105,2025-01-11,Vestuário,Jaqueta,3,184.76,554.28
2140,2025-01-11,Casa e Decoração,Jogo de Panelas,2,101.41,202.82
1203,2025-01-11,Vestuário,Tênis,2,238.93,477.86
1925,2025-01-11,Vestuário,Calça Jeans,4,75.3,301.2
1156,2025-01-12,Vestuário,Calça Jeans,2,67.04,134.08
1094,2025-01-12,Vestuário,Camiseta,3,169.83,509.49
2135,2025-01-12,Alimentos,Azeite Extra Virgem,1,53.69,53.69
1555,2025-01-12,Alimentos,Barra de Cereal,1,30.89,30.89
1344,2025-01-12,Casa e Decoração,Almofada,1,265.38,265.38
1305,2025-01-12,Vestuário,Tênis,5,169.55,847.75
1652,2025-01-12,Eletrônicos,Carregador Portátil,3,244.13,732.39
1680,2025-01-12,Vestuário,Calça Jeans,2,191.56,383.12
2067,2025-01-12,Alimentos,Barra de Cereal,3,39.71,119.13
1690,2025-01-13,Esporte e Lazer,Tênis de Corrida,4,67.12,268.48
1673,2025-01-13,Casa e Decoração,Luminária,3,246.94,740.82
1497,2025-01-13,Eletrônicos,Mouse Sem Fio,4,81.67,326.68
1182,2025-01-13,Vestuário,Tênis,1,69.15,69.15
1695,2025-01-13,Vestuário,Camiseta,5,127.32,636.6
1958,2025-01-13,Vestuário,Camiseta,2,75.85,151.7
1660,2025-01-13,Esporte e Lazer,Kit Yoga,2,179.97,359.94
1952,2025-01-13,Esporte e Lazer,Kit Yoga,2,282.59,565.18
1167,2025-01-13,Casa e Decoração,Almofada,4,125.88,503.52
1069,2025-01-13,Casa e Decoração,Luminária,1,199.53,199.53
1438,2025-01-14,Eletrônicos,Carregador Portátil,5,87.33,436.65
1359,2025-01-14,Eletrônicos,Mouse Sem Fio,2,110.48,220.96
1162,2025-01-14,Alimentos,Chocolate,3,45.67,137.01
1455,2025-01-14,Esporte e Lazer,Tênis de Corrida,5,28.59,142.95
1499,2025-01-14,Eletrônicos,Smartwatch,5,197.74,988.7
1195,2025-01-15,Esporte e Lazer,Tênis de Corrida,4,265.97,1063.88
1696,2025-01-16,Eletrônicos,Fone Bluetooth,3,313.76,941.28
1823,2025-01-16,Vestuário,Calça Jeans,2,225.84,451.68
2171,2025-01-16,Casa e Decoração,Tapete,3,136.92,410.76
1060,2025-01-17,Casa e Decoração,Tapete,5,105.48,527.4
1256,2025-01-17,Eletrônicos,Fone Bluetooth,5,300.29,1501.45
2044,2025-01-17,Esporte e Lazer,Tênis de Corrida,4,290.62,1162.48
2156,2025-01-18,Esporte e Lazer,Kit Yoga,4,49.95,199.8
1795,2025-01-19,Esporte e Lazer,Kit Yoga,2,91.76,183.52
1853,2025-01-19,Alimentos,Barra de Cereal,2,18.58,37.16
1287,2025-01-20,Vestuário,Camiseta,5,94.65,473.25
1070,2025-01-20,Eletrônicos,Mouse Sem Fio,4,363.72,1454.88
2094,2025-01-20,Alimentos,Café Especial,2,33.82,67.64
1504,2025-01-20,Eletrônicos,Carregador Portátil,4,243.24,972.96
1395,2025-01-21,Alimentos,Azeite Extra Virgem,5,54.9,274.5
1356,2025-01-21,Eletrônicos,Carregador Portátil,2,309.06,618.12
1001,2025-01-21,Vestuário,Jaqueta,3,136.44,409.32
1528,2025-01-21,Casa e Decoração,Luminária,1,238.4,238.4
1556,2025-01-21,Esporte e Lazer,Bola de Futebol,4,349.05,1396.2
1769,2025-01-22,Esporte e Lazer,Bola de Futebol,5,73.62,368.1
1891,2025-01-22,Esporte e Lazer,Tênis de Corrida,3,292.91,878.73
1342,2025-01-22,Vestuário,Jaqueta,3,48.56,145.68
1057,2025-01-22,Esporte e Lazer,Kit Yoga,3,166.18,498.54
1155,2025-01-22,Esporte e Lazer,Bola de Futebol,1,198.69,198.69
1760,2025-01-24,Vestuário,Tênis,3,148.29,444.87
1812,2025-01-25,Esporte e Lazer,Garrafa Térmica,1,30.0,30.0
1443,2025-01-25,Esporte e Lazer,Tênis de Corrida,2,47.16,94.32
1444,2025-01-25,Casa e Decoração,Almofada,4,239.72,958.88
1719,2025-01-25,Vestuário,Jaqueta,5,98.01,490.05
1421,2025-01-27,Esporte e Lazer,Garrafa Térmica,2,246.04,492.08
1245,2025-01-27,Eletrônicos,Carregador Portátil,3,271.17,813.51
1474,2025-01-28,Alimentos,Azeite Extra Virgem,2,14.92,29.84
2181,2025-01-28,Eletrônicos,Smartwatch,1,182.09,182.09
1536,2025-01-28,Vestuário,Jaqueta,1,206.26,206.26
1617,2025-01-28,Alimentos,Chocolate,3,47.05,141.15
1165,2025-01-28,Vestuário,Jaqueta,1,216.55,216.55
1798,2025-01-29,Vestuário,Jaqueta,2,232.09,464.18
1026,2025-01-29,Casa e Decoração,Almofada,3,217.59,652.77
1303,2025-01-31,Vestuário,Calça Jeans,3,88.01,264.03
1782,2025-02-01,Casa e Decoração,Luminária,1,36.8,36.8
1020,2025-02-02,Esporte e Lazer,Kit Yoga,4,232.21,928.84
1169,2025-02-03,Eletrônicos,Mouse Sem Fio,3,201.21,603.63
1130,2025-02-04,Esporte e Lazer,Bola de Futebol,2,160.41,320.82
